"phase" "subject" "activityName" "variable" "mean"
"TEST" 2 "LAYING" "tBodyAcc-mean()-X" 0.281373403958333
"TEST" 2 "LAYING" "tBodyAcc-mean()-Y" -0.0181587397583333
"TEST" 2 "LAYING" "tBodyAcc-mean()-Z" -0.107245610416667
"TEST" 2 "LAYING" "tBodyAcc-std()-X" -0.974059464791667
"TEST" 2 "LAYING" "tBodyAcc-std()-Y" -0.98027739875
"TEST" 2 "LAYING" "tBodyAcc-std()-Z" -0.984233296875
"TEST" 2 "LAYING" "tGravityAcc-mean()-X" -0.509754238125
"TEST" 2 "LAYING" "tGravityAcc-mean()-Y" 0.752536639375
"TEST" 2 "LAYING" "tGravityAcc-mean()-Z" 0.646834879583333
"TEST" 2 "LAYING" "tGravityAcc-std()-X" -0.959014441458333
"TEST" 2 "LAYING" "tGravityAcc-std()-Y" -0.988211865208333
"TEST" 2 "LAYING" "tGravityAcc-std()-Z" -0.984230418125
"TEST" 2 "LAYING" "tBodyAccJerk-mean()-X" 0.0825972511666667
"TEST" 2 "LAYING" "tBodyAccJerk-mean()-Y" 0.012254788451875
"TEST" 2 "LAYING" "tBodyAccJerk-mean()-Z" -0.00180264895625
"TEST" 2 "LAYING" "tBodyAccJerk-std()-X" -0.98587216875
"TEST" 2 "LAYING" "tBodyAccJerk-std()-Y" -0.98317254125
"TEST" 2 "LAYING" "tBodyAccJerk-std()-Z" -0.988442014375
"TEST" 2 "LAYING" "tBodyGyro-mean()-X" -0.01847660675
"TEST" 2 "LAYING" "tBodyGyro-mean()-Y" -0.111800824583333
"TEST" 2 "LAYING" "tBodyGyro-mean()-Z" 0.144882846104167
"TEST" 2 "LAYING" "tBodyGyro-std()-X" -0.988275232916667
"TEST" 2 "LAYING" "tBodyGyro-std()-Y" -0.982291608958333
"TEST" 2 "LAYING" "tBodyGyro-std()-Z" -0.960306560416667
"TEST" 2 "LAYING" "tBodyGyroJerk-mean()-X" -0.101974134208333
"TEST" 2 "LAYING" "tBodyGyroJerk-mean()-Y" -0.0358590176083333
"TEST" 2 "LAYING" "tBodyGyroJerk-mean()-Z" -0.0701783020833333
"TEST" 2 "LAYING" "tBodyGyroJerk-std()-X" -0.993235849166667
"TEST" 2 "LAYING" "tBodyGyroJerk-std()-Y" -0.989567537916667
"TEST" 2 "LAYING" "tBodyGyroJerk-std()-Z" -0.98803582125
"TEST" 2 "LAYING" "tBodyAccMag-mean()" -0.977435485208333
"TEST" 2 "LAYING" "tBodyAccMag-std()" -0.972873912916667
"TEST" 2 "LAYING" "tGravityAccMag-mean()" -0.977435485208333
"TEST" 2 "LAYING" "tGravityAccMag-std()" -0.972873912916667
"TEST" 2 "LAYING" "tBodyAccJerkMag-mean()" -0.987741696041667
"TEST" 2 "LAYING" "tBodyAccJerkMag-std()" -0.98551807625
"TEST" 2 "LAYING" "tBodyGyroMag-mean()" -0.950011569583333
"TEST" 2 "LAYING" "tBodyGyroMag-std()" -0.961164053958333
"TEST" 2 "LAYING" "tBodyGyroJerkMag-mean()" -0.991767074166667
"TEST" 2 "LAYING" "tBodyGyroJerkMag-std()" -0.989718095208333
"TEST" 2 "LAYING" "fBodyAcc-mean()-X" -0.976725059791667
"TEST" 2 "LAYING" "fBodyAcc-mean()-Y" -0.979800877916667
"TEST" 2 "LAYING" "fBodyAcc-mean()-Z" -0.984380981875
"TEST" 2 "LAYING" "fBodyAcc-std()-X" -0.973246482083333
"TEST" 2 "LAYING" "fBodyAcc-std()-Y" -0.981025105625
"TEST" 2 "LAYING" "fBodyAcc-std()-Z" -0.984792185
"TEST" 2 "LAYING" "fBodyAcc-meanFreq()-X" -0.146482792591667
"TEST" 2 "LAYING" "fBodyAcc-meanFreq()-Y" 0.2572894655
"TEST" 2 "LAYING" "fBodyAcc-meanFreq()-Z" 0.402532553395833
